title,artist,link
Standing Male Nude (1959),B Clapperton,/record/20911?highlight=*:*
Untitled - Holyrood Palace (1978-1979),Thomas F. C. Denny,/record/99413?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,/record/21114?highlight=*:*
(n) (fr) Les Voyeurs (1984),David C Duke,/record/99247?highlight=*:*
Seated Female Nude,Colin Lawson,/record/20774?highlight=*:*
Small relief with figure in clerical dress,NA,/record/20611?highlight=*:*
The Dive (1966),William S. T. Brodie,/record/22601?highlight=*:*
Portrait of a Man,Kirsty Ratt,/record/21439?highlight=*:*
Unknown (24 May 1962),John Picking,/record/50551?highlight=*:*
Plate,Emma Gillies,/record/53710?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,/record/20720?highlight=*:*
Unknown (1963),Ruth Walker,/record/50504?highlight=*:*
Seated Female Nude (Circa 1964),Alexander Moffat,/record/21337?highlight=*:*
Untitled - Nude Female Sitting (1967),Kevin Maguire,/record/99359?highlight=*:*
Standing Female Nude (1957),D G Seymour,/record/20963?highlight=*:*
Stairway (Circa 1979),Jean B. M. Lothian,/record/22636?highlight=*:*
Portrait of a Man (1959),Campbell,/record/20971?highlight=*:*
Hedge Cut (1998),John Brown,/record/21852?highlight=*:*
Seated Female Nude (1939-1940),Robert A Campbell,/record/21128?highlight=*:*
Teacup,Emma Gillies,/record/53649?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,/record/22569?highlight=*:*
Oranges (2018),Jessica Gasson,/record/102753?highlight=*:*
Untitled (1963),Kathleen Russell,/record/22014?highlight=*:*
Standing Male Nude (Jan 1958),Walter Miller,/record/20907?highlight=*:*
Unknown (1946),Alan Lefley,/record/50486?highlight=*:*
Free Fall (1985),Robert Adam,/record/21593?highlight=*:*
(2003),Unknown,/record/99930?highlight=*:*
Large Head (Circa 1983),Gwen W. Hardie,/record/22622?highlight=*:*
For They Shall See God (2006),Jennifer M. Hughes,/record/99881?highlight=*:*
"Metope 3, south entablature, Parthenon (1837)",NA,/record/20641?highlight=*:*
November Afternoon (1982),Gwyneth M. Leech,/record/99433?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,/record/21061?highlight=*:*
Seated Female Nude (Circa 1939),Alistair W McCheyne,/record/21139?highlight=*:*
Untitled (Unknown),J Nicoll,/record/21728?highlight=*:*
Female Nude Seated on a Chair (1953),Margaret Ronald,/record/20950?highlight=*:*
Standing Male Nude (1953),James Martin,/record/20952?highlight=*:*
Parthenon Frieze in Miniature,John Henning,/record/20584?highlight=*:*
Crying (2014),Rachel Hill,/record/47448?highlight=*:*
Bearded Goat,Emma Gillies,/record/53755?highlight=*:*
Teacup,Emma Gillies,/record/53636?highlight=*:*
Untitled (Unknown),Annabel Keatley,/record/21609?highlight=*:*
Wall hanging (1939),Unknown,/record/100009?highlight=*:*
Anat (1966),Norman Orr,/record/99405?highlight=*:*
Untitled (Unknown),Renny Tait,/record/21723?highlight=*:*
Untitled (1947),Sheila Turnbull,/record/111032?highlight=*:*
Two Figures in a Landscape,Unknown,/record/21484?highlight=*:*
Stately Dance (1947),Allan W. Robson,/record/21741?highlight=*:*
"Acanthus Scrolls, Temple of Venus Genetrix, Rome",Unknown,/record/20560?highlight=*:*
Esme (1949),Betty Elston,/record/22694?highlight=*:*
Works of a Strange Device: Drawing Smoke (2016),Suzanne Priestley,/record/99239?highlight=*:*
Untitled - Figure Drawing of a Man on a Stool (1964),Gordon Bryce,/record/99326?highlight=*:*
Portrait of a Man (1959),Alan Kemp,/record/20902?highlight=*:*
Champagne (1993),Robert I Montgomery,/record/99416?highlight=*:*
Standing Male Nude,John Hunter,/record/21043?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,/record/20574?highlight=*:*
Portrait of a Man (1956),Lawrence F. Baxter,/record/21182?highlight=*:*
Coffee Pot,Emma Gillies,/record/53691?highlight=*:*
Unknown (1960),Alan M. Alexander,/record/50595?highlight=*:*
Seated Young Male Nude (1948),Victorine Anne Schilsky,/record/20832?highlight=*:*
Unknown,Unknown,/record/53546?highlight=*:*
Seated Male Nude,John Houston,/record/21044?highlight=*:*
Untitled (Jan 1997),Sharon Cornwill,/record/21920?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,/record/20876?highlight=*:*
Untitled (1966),Maureen Dawson,/record/99845?highlight=*:*
Blue Waterfall,Andrew Mackenzie,/record/20751?highlight=*:*
Untitled (1969),Rosemary Hamblin,/record/22004?highlight=*:*
Untitled,Kirkland Main,/record/99987?highlight=*:*
Untited (1986),Paul Furneaux,/record/21611?highlight=*:*
Needle lace mat,Unknown,/record/102712?highlight=*:*
Untitled (1968),Michael Jannarelli,/record/22505?highlight=*:*
Ship in the Dockyard,Caroline Boyle,/record/21502?highlight=*:*
Espresso Saucer,Emma Gillies,/record/53684?highlight=*:*
Bloomers,Unknown,/record/102663?highlight=*:*
Standing Female Nude (1954),Margaret Proudfoot,/record/21246?highlight=*:*
From Rialto Venezia (10 Mar 1948),Marjorie Wallace,/record/20854?highlight=*:*
Standing Man with Scythe,John Houston,/record/20770?highlight=*:*
Venice (1951),Sax Shaw,/record/99849?highlight=*:*
Grey Cover,Unknown,/record/22633?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,/record/20726?highlight=*:*
Untitled,John Nichol,/record/112448?highlight=*:*
Udder Hand (2016),Eden Hawkins,/record/99265?highlight=*:*
"Commercial Street, Leith (Jan 1950)",John W. Corner,/record/50515?highlight=*:*
Untitled (1946),Dorothy M. Peach,/record/21738?highlight=*:*
Standing Male Nude (1959),Kenneth Dingwall,/record/21332?highlight=*:*
Untitled (Unknown),Sabine R,/record/21640?highlight=*:*
Four way / Exchange Portfolio (Unknown),Unknown,/record/99854?highlight=*:*
Standing Male Nude (1954),John P Busby,/record/21377?highlight=*:*
Vilnius Academy of Fine Arts,Unknown,/record/99853?highlight=*:*
Unknown,Elizabeth Blackadder,/record/50638?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,/record/99453?highlight=*:*
Saucer,Emma Gillies,/record/53626?highlight=*:*
Standing Male Nude (1959),Lys Hansen,/record/20955?highlight=*:*
Standing Male Nude,John Houston,/record/21047?highlight=*:*
Untitled (Unknown),Unknown,/record/21946?highlight=*:*
Untitled (1969),Moira Johnson,/record/22021?highlight=*:*
Untitled (Unknown),Unknown,/record/21862?highlight=*:*
Unknown (1951),Harold F Burnett,/record/50572?highlight=*:*
Horses from South Frieze of the Parthenon (1836-1837),NA,/record/20732?highlight=*:*
Unknown,Unknown,/record/53504?highlight=*:*
Replica of parthenon slab PF049,NA,/record/20653?highlight=*:*
Reclining Female Nude (1959),Jean I. Beattie,/record/20922?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,/record/20701?highlight=*:*
Unknown,Unknown,/record/53536?highlight=*:*
Dog (1966),James Fairgrieve,/record/21345?highlight=*:*
Unknown (1949),Mary D Thomson,/record/50452?highlight=*:*
Minotaur,Paul Duffus,/record/102661?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,/record/21174?highlight=*:*
Untitled (Unknown),Unknown,/record/21978?highlight=*:*
Portrait of a Man,A Sinclair,/record/21471?highlight=*:*
15th Century Italian (Feb 1982),Carol Binnie,/record/21976?highlight=*:*
View from a Window,Sylvia Mackiewicz,/record/21453?highlight=*:*
Jug,Emma Gillies,/record/53722?highlight=*:*
Untitled - Print of Figures Lying in a Garden (1962),Ann F Ward,/record/99337?highlight=*:*
Untitled (1965),Wilson,/record/22485?highlight=*:*
Unknown (1950),John W. Corner,/record/50519?highlight=*:*
Unknown,Unknown,/record/53505?highlight=*:*
Untitled (2002),Adrian Rodriguez,/record/99944?highlight=*:*
Seated Male Nude with Blanket (1959),W Campbell,/record/20972?highlight=*:*
Untitled (1983),Susan Coles,/record/21892?highlight=*:*
Unnamed (2002),Ky Ober,/record/99950?highlight=*:*
