title,artist,link
Untitled,Unknown,/record/99861?highlight=*:*
Unknown,Lindsay Marshall,/record/53564?highlight=*:*
Untitled - Portrait of a Man in a Hat (1963),Anthony J Valentine,/record/99441?highlight=*:*
Unknown (Circa 1890),Unknown,/record/50466?highlight=*:*
Unknown (1960),Thora Clyne,/record/50558?highlight=*:*
Side Plate,Emma Gillies,/record/53618?highlight=*:*
Reclining Male Nude (1952),Rosemary Wrighte,/record/20860?highlight=*:*
Untitled - Figure Drawing of A Woman with Pig Tails (1965),Gordon Bryce,/record/99281?highlight=*:*
Male Nude on Step Ladders,Helen G. S Forde,/record/22671?highlight=*:*
Unknown (1982),Donald Urquhart,/record/99516?highlight=*:*
Portrait Study (1950),Thomas Kim Redpath,/record/22703?highlight=*:*
Portrait of a Woman (1959),Barbara Strachan,/record/20869?highlight=*:*
Saucer,Emma Gillies,/record/53627?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,/record/20702?highlight=*:*
Portrait of a Woman (1954),Nita Newman,/record/21209?highlight=*:*
Untitled - Abstract Collage (1969),Leslie McConnell,/record/99408?highlight=*:*
Standing Male Nude with Stick (1958),Lesley Crawford,/record/21110?highlight=*:*
Male Figure in Black Shaft and Household Appliances (Circa 1989),Paul Rooney,/record/22520?highlight=*:*
Untitled - Portrait of a Woman in Red (1967),Alistair Bell,/record/99379?highlight=*:*
Two Greyhounds,James Fairgrieve,/record/21397?highlight=*:*
Unknown (1950),Thomas Clapperton,/record/50562?highlight=*:*
Fiddlers (1952),Walter Rogalski,/record/21656?highlight=*:*
Unknown (1947),Thomas M. B. Watt,/record/50575?highlight=*:*
Tuscan Landscape (1956),Elizabeth Blackadder,/record/99213?highlight=*:*
Metope South 7 from the Parthenon (1837),NA,/record/20644?highlight=*:*
Portrait of a Man,Eric Fleming,/record/21521?highlight=*:*
Untitled (2002),Elizabeth Shepherd,/record/99947?highlight=*:*
Unknown (1950),Unknown,/record/53507?highlight=*:*
Untitled - Reclining Nude Female (1970-1971),James McGlade,/record/99440?highlight=*:*
Untitled (1946),Esther W. Hamilton,/record/21730?highlight=*:*
Mannequin,Anna Millar,/record/22628?highlight=*:*
Untitled (1967),Sylvia M. R. Cameron,/record/112303?highlight=*:*
Still Life with Fish (1961),Jean M. A. Conacher,/record/22723?highlight=*:*
Untitled,Colin Vernall,/record/22631?highlight=*:*
Vase,Emma Gillies,/record/53738?highlight=*:*
Untitled (Pink) (2014),Phoebe Mitchell,/record/53777?highlight=*:*
Self Portrait (1949),Margaret Moodie,/record/50491?highlight=*:*
Untitled (1982),Alice Carter,/record/21579?highlight=*:*
Untitled (1983),Pauline Cumming,/record/21899?highlight=*:*
Untitled (1995),John Wallbank,/record/21714?highlight=*:*
Untitled (Unknown),David C Duke,/record/21979?highlight=*:*
"Figure in a Garden, Florence (1946)",Brodie,/record/50495?highlight=*:*
Untitled,Dr Ainslie Yule,/record/99533?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,/record/20674?highlight=*:*
Untitled (1997),Peter Marshall,/record/21889?highlight=*:*
Oscillation Three (2015),Mark Osborne,/record/53776?highlight=*:*
Untitled - Abstract Landscape with Black (1965-1966),Laura McPherson,/record/99392?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),/record/50556?highlight=*:*
Standing Male Nude,R Hardie,/record/21038?highlight=*:*
Seated Male Nude (15 Feb 1950),John Parnell,/record/21066?highlight=*:*
Sleeping Figure,Paul Gladston,/record/21516?highlight=*:*
Tapestry fragment,Unknown,/record/102673?highlight=*:*
Seated Female Nude (1959),John O'Neill,/record/21155?highlight=*:*
Rural Landscape (1959),Jacqueline A N Stieger,/record/20821?highlight=*:*
Untitled (1962),Robert S. Crozier,/record/112312?highlight=*:*
Unknown (1956),Alan M. Alexander,/record/50594?highlight=*:*
Aeschylus and Socrates (1975),"Eduardo Luigi Paolozzi KBE, RA",/record/21700?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,/record/21398?highlight=*:*
"Corbel from Trinity College Church, Edinburgh",Unknown,/record/20557?highlight=*:*
Untitled (Unknown),Unknown,/record/21856?highlight=*:*
Seated Female Nude (1959),Violet Thompson,/record/21145?highlight=*:*
Stag,Emma Gillies,/record/53753?highlight=*:*
Unknown (1968),Kenneth R Duffy,/record/99515?highlight=*:*
Untitled (Unknown),Unknown,/record/21616?highlight=*:*
Unknown (1947),Mabel D. Lawford,/record/50536?highlight=*:*
Unknown (1969),J Lyle,/record/53608?highlight=*:*
Unknown,Britton,/record/50374?highlight=*:*
Privata Care (2016),Natalie Howlett,/record/99237?highlight=*:*
Untitled (1969),James Fleming,/record/22490?highlight=*:*
Train Station,T Honeyman,/record/21463?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,/record/21785?highlight=*:*
Unknown (1965-1966),George Donald,/record/50376?highlight=*:*
Queen Anne apron (1700-1799),Unknown,/record/102684?highlight=*:*
135 (2015),Mark Osborne,/record/53775?highlight=*:*
Self Portrait (1950),Zygmunt Bukowski,/record/22687?highlight=*:*
Still Life in White and Grey,David Giblin,/record/21519?highlight=*:*
Untitled (1962),Kathleen Russell,/record/99521?highlight=*:*
Portrait of a Woman (1953),Lilias Stirling,/record/22677?highlight=*:*
Plate (1924),Emma Gillies,/record/53727?highlight=*:*
Untitled,Unknown,/record/102678?highlight=*:*
Man and Cauldron (1950),Alfred Hackney,/record/21029?highlight=*:*
Angel playing a pipe,Unknown,/record/20609?highlight=*:*
Abstract Composition in White with Circle (1989),Linda A. Henniker,/record/22514?highlight=*:*
Sky with Floating Kites (Circa 1968),Charles Ian Patterson,/record/22588?highlight=*:*
Opuntia Lencotricha (1993-1994),Jane Watt,/record/99457?highlight=*:*
Self Portrait (1951),Barbara C. Balmer,/record/22708?highlight=*:*
"Composition with Hieroglyphics, Signs and Symbols (Circa 1977)",Sally E. Oswald,/record/22561?highlight=*:*
Untitled (Unknown),Derek McGuire,/record/21912?highlight=*:*
Self Portrait (1956),Rose Rifat,/record/21189?highlight=*:*
Riders: Parthenon Frieze (1836-1837),NA,/record/20707?highlight=*:*
Still Life (1994-1995),Kerry Watson,/record/21450?highlight=*:*
Seated Male Nude (1959),W Bryden,/record/21108?highlight=*:*
Unknown,Leonard I. H. Gray,/record/53486?highlight=*:*
Unknown,Alexander Cree,/record/50547?highlight=*:*
Seated Male Nude (1961),Gwendoline Rodger,/record/21289?highlight=*:*
Unknown (1948),Marjorie Wallace,/record/50446?highlight=*:*
Reclining Male Nude (1952),Annette G B Ronald,/record/20817?highlight=*:*
Untitled (Unknown),David C Duke,/record/21983?highlight=*:*
Chinese sleeveband. waves,Unknown,/record/102703?highlight=*:*
Natural Geometry series (a) (2015),Robin Crawford,/record/53771?highlight=*:*
Untitled - View From a Bath (1968),Alison Hutton,/record/99272?highlight=*:*
Untitled - Figure Drawing of A Nude Woman Lying Down (1964-1965),Gordon Bryce,/record/99278?highlight=*:*
Unknown (1960),John Johnstone,/record/53550?highlight=*:*
Unknown (Apr 1964),Jean Fayrer,/record/50498?highlight=*:*
Unknown,Ursula Giles,/record/53489?highlight=*:*
Portrait of a Woman (1954),Thomas T Robertson,/record/21206?highlight=*:*
Untitled (2007),Jon McNaught,/record/99890?highlight=*:*
Nettleton (1977),"Eduardo Luigi Paolozzi KBE, RA",/record/21698?highlight=*:*
Untitled (2007),Rita Marhaug,/record/99979?highlight=*:*
"Marché, rue Mouffetard (1963)",Ann F Ward,/record/99341?highlight=*:*
Seated Male Nude (Sean Connery) (1952),Ian Lawson,/record/21418?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,/record/50523?highlight=*:*
Standing Male Nude (1964),Kirkland Main,/record/21169?highlight=*:*
Espresso Cup,Emma Gillies,/record/53703?highlight=*:*
Unknown,Alan J Mcleod,/record/53605?highlight=*:*
Standing Male Nude (1952),Unknown,/record/21222?highlight=*:*
Untitled (Unknown),Zoë Telford,/record/21619?highlight=*:*
144 (2015),Mark Osborne,/record/53774?highlight=*:*
Untitled I (2007),Jenny Smith,/record/99899?highlight=*:*
Seated Male Nude (1954),David Ewans,/record/21228?highlight=*:*
Untitled (1961),Paresh C. Chakraborty,/record/112305?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,/record/21152?highlight=*:*
Standing Male Nude (1930-1931),Thomas Pow,/record/21126?highlight=*:*
Unknown,Maureen Baird,/record/50622?highlight=*:*
Portrait of a Woman (1952),W Baxter,/record/21205?highlight=*:*
Seated Male Nude (1954),Kathleen M D Mole,/record/21052?highlight=*:*
Portrait of a Woman in a Headdress,Adam Bruce Thomson,/record/20828?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,/record/20677?highlight=*:*
Unknown (1973),David Hogg,/record/53601?highlight=*:*
Three Standing Female Nudes (1957),Andrew Conkie,/record/20926?highlight=*:*
Seated Male Nude (19 Nov 1958),A Robson,/record/20937?highlight=*:*
Blue and Black Grid,Joan E. Smith,/record/22550?highlight=*:*
Standing Male Nude (1952),David Michie,/record/21386?highlight=*:*
Frieze from the Temple of Athena Nike (far right) (1827),NA,/record/20628?highlight=*:*
Relic of Origins: Red Deer (2013),Kyle Noble,/record/21305?highlight=*:*
Harbour (Circa 1965),James B. Thomson,/record/22619?highlight=*:*
Unknown (1950),James Bowman,/record/50611?highlight=*:*
Composition with Stripes and Full Moon (Circa 1973),Peter Bewsey,/record/20759?highlight=*:*
Untitled (1960),Robert L Snowden,/record/21542?highlight=*:*
Untitled - Birds Eye View of City (1965),Laura McPherson,/record/99394?highlight=*:*
Plate,Emma Gillies,/record/53717?highlight=*:*
Saucer,Emma Gillies,/record/53624?highlight=*:*
Unknown (1947),Anne Anderson,/record/50529?highlight=*:*
Mexican needleweaving.birds and hearts (1951),Unknown,/record/102693?highlight=*:*
Untitled,Shirley Brown,/record/22518?highlight=*:*
Standing Male Nude with Staff (1950),Cecile E M Johnston,/record/21025?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,/record/99371?highlight=*:*
Portrait of Sister (1958),Frances M. Walker,/record/22680?highlight=*:*
Seated Male Nude with Glasses (1958),Elizabeth Meldrum,/record/21159?highlight=*:*
Unknown (1950),Alexander Cree,/record/50541?highlight=*:*
Untitled (1964),Helen Cargill,/record/22484?highlight=*:*
Untitled (Unknown),Unknown,/record/21555?highlight=*:*
Portrait in Green,Claudia Petretti,/record/21438?highlight=*:*
Untitled (Unknown),Paul Gladston,/record/21729?highlight=*:*
Traviata (Unknown),Boris Bućan,/record/22470?highlight=*:*
Unknown (1947),Mabel D. Lawford,/record/50533?highlight=*:*
Self Portrait,Lesley M. Johns,/record/22731?highlight=*:*
Hand Thrown Pot,Emma Gillies,/record/53734?highlight=*:*
Portrait of a Woman (1962),Ekwall,/record/21285?highlight=*:*
The Etiquette of Landscape and Face: Passage 2 (2015),Leonie Neuweger,/record/53782?highlight=*:*
Two Women,J Nicoll,/record/21473?highlight=*:*
Untitled (1964),James Goodall,/record/99846?highlight=*:*
Untitled (1962),Cant,/record/22497?highlight=*:*
Unknown (1960),Vivien Alexander,/record/50626?highlight=*:*
Man in His Garden (Dec 1977),Muriel A. M. Kirkwood,/record/21672?highlight=*:*
Untitled (1947),Allan W. Robson,/record/21745?highlight=*:*
Portrait of a Seated Woman (1965-1966),George Donald,/record/21172?highlight=*:*
Portrait of a Young Boy (1956),David McClure,/record/21334?highlight=*:*
Composition with Two Figures in Lime Green,Unknown,/record/22657?highlight=*:*
Porcus Omnivorous (1994),Sara Ogilvie,/record/21960?highlight=*:*
Portrait of a Man (1939),Jessie May Stirling,/record/21134?highlight=*:*
Untitled (1949),Victorine Anne Schilsky,/record/21746?highlight=*:*
Unknown (1950),John W. Corner,/record/50521?highlight=*:*
"The Old Church, Corstorphine (1939)",Hugh Ross Mackean,/record/21827?highlight=*:*
Unknown,Unknown,/record/50379?highlight=*:*
Untitled - Abstract Crowd Scene (1964-1965),William Gillon,/record/99477?highlight=*:*
Untitiled (Circa 1960),Robert L Snowden,/record/21544?highlight=*:*
Untitled (1997),Rachel Clark,/record/21876?highlight=*:*
Unknown,Olivia Irvine,/record/53563?highlight=*:*
Portrait of a Woman (1951),Rosemary Bagshawe,/record/21234?highlight=*:*
Seated Nude (1957),Ruth Illingworth,/record/20933?highlight=*:*
Portrait of a Woman (02 Nov 1953),Elizabeth Blackadder,/record/21407?highlight=*:*
Anique Life drawing - 3rd Year (1962),Kathleen Russell,/record/99520?highlight=*:*
Portrait of a Man (1939-1940),James Gordon,/record/21096?highlight=*:*
Portrait of a Man with a Beard (1959),Alan Kemp,/record/20903?highlight=*:*
Self-Portrait (1967),Gregor Smith,/record/99398?highlight=*:*
Portrait of a Man (1968),Charles Ian Patterson,/record/21321?highlight=*:*
Male Portrait (1969),Elizabeth E. Eastmond,/record/22690?highlight=*:*
Plate,Emma Gillies,/record/53707?highlight=*:*
Seated Female Nude (1957),Duncan Thompson,/record/21103?highlight=*:*
Untitled (1973),Ken McLennan,/record/21844?highlight=*:*
Untitled,Jean M. A. Conacher,/record/112354?highlight=*:*
Seated Male Nude (1954),Kathleen M D Mole,/record/21051?highlight=*:*
Abstract Still Life with Jug and Fruit Bowl (1959),Denness Morton,/record/21080?highlight=*:*
Plate,Emma Gillies,/record/53668?highlight=*:*
Fossil Life (1984),Wendy McMurdo,/record/21883?highlight=*:*
Unknown (1963),Leslie Johns,/record/50435?highlight=*:*
Composition with Black Square (1981),Alastair R. W. Hearsum,/record/22552?highlight=*:*
Diddly Doodly (2006),John Brown,/record/99953?highlight=*:*
Untitled - Figures and Bicycles in the City (1965-1966),James B. Thomson,/record/99450?highlight=*:*
Unknown (1952),Rosemary Bagshaw,/record/53515?highlight=*:*
Untitled (1983),Robert Rivers,/record/99810?highlight=*:*
Man Against Yellow Wall (1985-1986),Robbie Bushe,/record/21520?highlight=*:*
Not For Gain (2016),Daisy Lafarge,/record/99238?highlight=*:*
Untitled (1967),June Hanlon,/record/22019?highlight=*:*
The Fruitstand (Unknown),Elizabeth Gourlay,/record/21777?highlight=*:*
Unknown (Circa 1890),Unknown,/record/50467?highlight=*:*
Double Handled Vessel,Emma Gillies,/record/53739?highlight=*:*
Schizophrenia (2007),Laura Guoke,/record/99903?highlight=*:*
Charioteers and horses from North Frieze of the Parthenon (1836-1837),NA,/record/20734?highlight=*:*
Reclining Female Nude (1967),Helen Pollock,/record/20772?highlight=*:*
Unknown,Sean Byrne,/record/53600?highlight=*:*
Nun with Two Workmen in a Country Landscape,Unknown,/record/22557?highlight=*:*
Untitled (2014),Rachel Hill,/record/47451?highlight=*:*
Kneeling Female Nude (1959),Jean I. Beattie,/record/20924?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,/record/20711?highlight=*:*
Portrait of a Woman (1951),Madelaine Philip,/record/21233?highlight=*:*
Untitled (1983),Robert Rivers,/record/99807?highlight=*:*
Unknown (1993),Rolandos Rimkunas,/record/99851?highlight=*:*
Reclining Female Nude (1954),Margaret Proudfoot,/record/21260?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,/record/50471?highlight=*:*
Unknown (1950),James T. Ferguson,/record/53499?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,/record/20749?highlight=*:*
Unknown (23 Jan 1964),James Goodall,/record/50481?highlight=*:*
One mould and five wax portrait miniatures (Post 1860),Unknown,/record/20614?highlight=*:*
Reclining Female Nude (1957),Peter Coyle,/record/20968?highlight=*:*
Goat,Emma Gillies,/record/53746?highlight=*:*
Tombstone 1693 (1989-1990),Aline McLeod,/record/21470?highlight=*:*
A CUP OF WINE TOGETHER WILL MAKE US GLAD AND A LITTLE FRIENDSHIP IS NO LITTLE MATTER. (1985),Elaine M. Stenning,/record/99334?highlight=*:*
Untitled - Still Life With Flowers (1961-1962),Gwendolene E Roger,/record/99400?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,/record/99430?highlight=*:*
Saucer,Emma Gillies,/record/53656?highlight=*:*
Sleeping Male Nude (1970),Elspeth Coop,/record/20970?highlight=*:*
Idolino,Unknown,/record/20576?highlight=*:*
Nikola Subić Zrinjski (1983),Boris Bućan,/record/22033?highlight=*:*
Theatre Interior,Robert Maclaurin,/record/21513?highlight=*:*
Unknown,Jeffery Camp,/record/50563?highlight=*:*
Unknown (1950),William James Laidlaw Baillie,/record/50628?highlight=*:*
Untitled,Mary McKay,/record/112445?highlight=*:*
Woman in Floral Dress (Circa 1955),Eric Ritchie,/record/21395?highlight=*:*
Two Views of a Man Seated (1959),Grace Nichol,/record/21120?highlight=*:*
Landscape near Florence (DEC 1955),John P Busby,/record/21383?highlight=*:*
Untitled (Unknown),Unknown,/record/21564?highlight=*:*
The Children's Hour (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",/record/21699?highlight=*:*
Untitled (2002),Lisa Flett,/record/99935?highlight=*:*
Still Life with Teapot (1952),Mollie E N Langlands,/record/22662?highlight=*:*
Untitled (Jun 2002),Jeremy Mitchell,/record/21845?highlight=*:*
Portrait of Seated Man (1956),Ballantyne,/record/21180?highlight=*:*
Allegro Moderato Firemans' Parade (1977),"Eduardo Luigi Paolozzi KBE, RA",/record/21697?highlight=*:*
Untitled (1966),Helen G. S Forde,/record/99813?highlight=*:*
Untitled - Two Women at the Ocean (1985-1986),Olivia Irvine,/record/99428?highlight=*:*
Chariot from North Frieze of the Parthenon (1836-1837),NA,/record/20714?highlight=*:*
Untitled (1981),Jane Fairclough,/record/21591?highlight=*:*
Performing Labour: a guide to creative resistance (2020),Aisling Ward,/record/113779?highlight=*:*
Untitled (2007),Esther McGreggor,/record/99895?highlight=*:*
Unknown,Unknown,/record/50388?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,/record/20932?highlight=*:*
Emerging (1987),Paul Furneaux,/record/111442?highlight=*:*
Unknown (harbour drawing),Ben Nicholson,/record/53471?highlight=*:*
Two Female Heads (1959),Denness Morton,/record/21077?highlight=*:*
Still Life (1985),Paul John Croft,/record/21795?highlight=*:*
Unknown,Jeffery Camp,/record/50565?highlight=*:*
Portrait of a Young Woman (1960),John Kerr,/record/20986?highlight=*:*
Unknown (1984),Moyna Flannigan,/record/50404?highlight=*:*
Unknown,Alexander Cree,/record/50549?highlight=*:*
Blackbird on Toys,Gordon Mitchell,/record/22560?highlight=*:*
Unknown,Unknown,/record/50417?highlight=*:*
Unknown,Unknown,/record/50406?highlight=*:*
Unknown (1986),Peter McLaren,/record/53533?highlight=*:*
Untitled - Wheatfield in Ink (1963),Anne E Jones,/record/99257?highlight=*:*
Anatomical figure of legs,NA,/record/20599?highlight=*:*
Lying Female Nude (1960),Kenneth R Wheatley,/record/20857?highlight=*:*
Patrick Nuttgens (recto),John Whittaker,/record/22738?highlight=*:*
Unknown,Alan Chisholm,/record/50405?highlight=*:*
Standing Female Nude (1957),Morag Cuthbertson,/record/20965?highlight=*:*
Nude in Veil,Anna Millar,/record/22637?highlight=*:*
Book holder,Winsome Douglass,/record/113838?highlight=*:*
Untitled (Unknown),Unknown,/record/21556?highlight=*:*
Orkney Totem (Unknown),Reinhard Behrens,/record/21690?highlight=*:*
Unknown,Valerie Samuel,/record/53535?highlight=*:*
Untitled (Unknown),Unknown,/record/21984?highlight=*:*
Standing Female Nude (1952),Mollie E N Langlands,/record/21020?highlight=*:*
Seated Woman (Circa 1961),Ann F Ward,/record/21354?highlight=*:*
Seated Female Nude (1959),C Byron,/record/20917?highlight=*:*
Untitled (Unknown),Patrick McKenzie Smith,/record/21613?highlight=*:*
Unknown (1964),McKinnell,/record/50478?highlight=*:*
Portrait of a Woman (1939-1940),Robert A Campbell,/record/21129?highlight=*:*
Unknown,Unknown,/record/50395?highlight=*:*
Scaffolding - 'Formasons Stone Renovators Edinburgh',Ian Johnstone,/record/21506?highlight=*:*
Standing Female Nude (1952),Douglas Kerr,/record/21224?highlight=*:*
Untitled (2006),Greggory Bradford,/record/99877?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,/record/99431?highlight=*:*
Untitled (Unknown),Unknown,/record/21816?highlight=*:*
Kneeling Male Nude (1953),Peter Brady,/record/20967?highlight=*:*
Men in a Rugby Changing Room (Circa 1953),Trevor Stubley,/record/21411?highlight=*:*
"(In ""Head"" 73) (1973)",Gavin Robson,/record/99404?highlight=*:*
Vojna Tajna (1983),Boris Bućan,/record/22471?highlight=*:*
Untitled (Unknown),A. Geraldine Gowan,/record/21580?highlight=*:*
Men in a Rugby Changing Room (Circa 1953),Trevor Stubley,/record/21412?highlight=*:*
Rough study of female seated figure with head tilted back (1960),Jean Cochrane,/record/53521?highlight=*:*
Untitled,Peter Pretsell,/record/99795?highlight=*:*
Untitled (Unknown),Unknown,/record/99921?highlight=*:*
Portrait of a Man,A Sinclair,/record/21483?highlight=*:*
Untitled,Dr Ainslie Yule,/record/99532?highlight=*:*
Seated Nude Woman (1958),George A. MacPherson,/record/22647?highlight=*:*
Untitled (Unknown),Unknown,/record/21925?highlight=*:*
Standing Boxer (1964),John Bellany,/record/20778?highlight=*:*
Unknown,Linda Hennker,/record/50375?highlight=*:*
Untitled (Unknown),Unknown,/record/21853?highlight=*:*
Running goddess from east pediment of the Parthenon,NA,/record/20636?highlight=*:*
Seated Male Nude (1959),Ronald G Browne,/record/21156?highlight=*:*
Untitled (Mar 1963),John Bellany,/record/21535?highlight=*:*
Unknown (1950),Francis Curran,/record/50506?highlight=*:*
IV (1963),John Bellany,/record/20745?highlight=*:*
Three Views of a Standing Male Nude (1948),John Thompson,/record/20844?highlight=*:*
Teacup,Emma Gillies,/record/53646?highlight=*:*
Life Float and Boat,Ashley McCormick,/record/21478?highlight=*:*
Untitled (2014),Rachel Hill,/record/47450?highlight=*:*
Untitled - Life Drawing of Woman Reclining on a Bed (1967),Isobel T Johnstone,/record/99249?highlight=*:*
Unknown (1962),Carol Handyside,/record/50480?highlight=*:*
Memory and Process (2015),Callum Watson,/record/53779?highlight=*:*
The Misadventure (1989),John Brown,/record/21575?highlight=*:*
Unknown (1963),Roger Cameron,/record/53590?highlight=*:*
Unknown (1949),Shand C. Hutchison,/record/50530?highlight=*:*
Portrait of a Woman,Samuel John Peploe,/record/53886?highlight=*:*
Untitled (Unknown),Unknown,/record/21917?highlight=*:*
Step 4 (2013),Maria Hadam,/record/21309?highlight=*:*
Untitled (1983),Robert Rivers,/record/99802?highlight=*:*
Portrait of a Woman (Carole Danielson) (1964),Kirkland Main,/record/21168?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,/record/99427?highlight=*:*
Untitled,Unknown,/record/102729?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,/record/20672?highlight=*:*
Unknown (1968),Maureen Purcell,/record/53588?highlight=*:*
Unknown,Unknown,/record/53511?highlight=*:*
Untitled (1976),Ruth Stiven,/record/99492?highlight=*:*
Unknown (1943),W C G Thomson,/record/50451?highlight=*:*
Unknown (1949),Betty Elston,/record/50584?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,/record/21060?highlight=*:*
Untitled (1967),Helen Pollock,/record/112446?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,/record/99336?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,/record/113777?highlight=*:*
Landscape,Donald Clark,/record/21487?highlight=*:*
Untitled,Unknown,/record/102728?highlight=*:*
That's a Novel Concept (2007),Hannah Jasper,/record/99970?highlight=*:*
Unknown (1960),Robin E. Bownass,/record/50605?highlight=*:*
Portrait of a Woman,V Timmins,/record/21442?highlight=*:*
Untitled (1966),Alistair T Hamilton,/record/99843?highlight=*:*
Landscape (1953),Iain West,/record/20851?highlight=*:*
Unknown,Unknown,/record/50384?highlight=*:*
"Couplings, Paper bags (2017)",Tessa Lynch,/record/102737?highlight=*:*
Horses of Helios from East Pediment,NA,/record/20635?highlight=*:*
Chinese sleeveband.figures,Unknown,/record/102700?highlight=*:*
Acteon (1838),Sarti,/record/20582?highlight=*:*
"Funerary Statue of Marcellus, nephew of Augustus",Unknown,/record/20587?highlight=*:*
Portrait of a Man (1959),B Clapperton,/record/20909?highlight=*:*
Horses from North Frieze of the Parthenon (1836-1837),NA,/record/20716?highlight=*:*
Processions Banner (2018),Lindy Richardson,/record/102750?highlight=*:*
Self Portrait (1947),Marjorie Wallace,/record/50441?highlight=*:*
Seated Female Nude (1964),William Gillon,/record/21342?highlight=*:*
Man with Wooden Leg Pulling Cart of Flowers (1958-1959),Peter Standen,/record/20795?highlight=*:*
Unknown (1950),Zygmunt Bukowski,/record/53556?highlight=*:*
Small black figure with long wavy hair,Unknown,/record/20546?highlight=*:*
Espresso Saucer,Emma Gillies,/record/53685?highlight=*:*
The Repairable Flatpack Toaster (2017),Kasey Hou,/record/100020?highlight=*:*
Bar at 1732 St Charles (02 Aug 1973),Jonathan Woodham,/record/21433?highlight=*:*
Untitled,Jean M. A. Conacher,/record/112353?highlight=*:*
Untitled (Unknown),Unknown,/record/99918?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,/record/99414?highlight=*:*
Untitled (Unknown),David C Duke,/record/21986?highlight=*:*
Portrait Male (1975),Andrew J. Neil,/record/22726?highlight=*:*
"Still Life with White Lace, Fish and Edinburgh Castle (1967)",Marie Waugh,/record/22580?highlight=*:*
Untitled - Portrait of a Girl in a Hat (05 Dec 1966),Catherine Robin,/record/99411?highlight=*:*
Rabbit,Emma Gillies,/record/53751?highlight=*:*
Untitled (1986),Ian McKenzie Smith,/record/21708?highlight=*:*
Portrait of a Man in a Suit (1958),Ian Hodkinson,/record/20881?highlight=*:*
Saucer,Emma Gillies,/record/53657?highlight=*:*
Elders from South Frieze of the Parthenon (1836-1837),NA,/record/20680?highlight=*:*
Drawing of Dominico Mancini (1946),Dorothy M. Peach,/record/21740?highlight=*:*
Portrait of a Seated Woman (1950),Alexander F Mitchell,/record/21053?highlight=*:*
Standing Male Nude (1953),Allan Sutherland,/record/20979?highlight=*:*
Untitled (1987),Susan Veitch,/record/21898?highlight=*:*
Unknown,Unknown,/record/53538?highlight=*:*
Portrait of a Seated Man (1954),Edith Fraser,/record/21208?highlight=*:*
Untitled,Susan Pettinger,/record/112500?highlight=*:*
Untitled (1961),Dr Ainslie Yule,/record/99531?highlight=*:*
An Táin (1964),John B Vallely,/record/21005?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,/record/99486?highlight=*:*
Unknown,Malcolm Clark,/record/50413?highlight=*:*
Plate,Emma Gillies,/record/53713?highlight=*:*
Harbour (1953-1954),Alistair M Park,/record/21348?highlight=*:*
Still Life - Fish (1961),Thora Clyne,/record/22640?highlight=*:*
Castor and Pollux (1835),Sarti,/record/20593?highlight=*:*
Untitled (Unknown),Dilys R. Lovell,/record/21574?highlight=*:*
Patchwork quilt (1700-1899),Unknown,/record/102731?highlight=*:*
Preparatory Sketch (1962),John Picking,/record/50528?highlight=*:*
A Head (Unknown),Unknown,/record/21561?highlight=*:*
Portrait of a Man (1956),J Gorman,/record/21181?highlight=*:*
Plate,Emma Gillies,/record/53671?highlight=*:*
The Smile You Put On Everyday (2016),Ruoyan Wang,/record/99241?highlight=*:*
Reverse Reserve (1975),Gordon Mitchell,/record/22522?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,/record/21436?highlight=*:*
Untitled,Bennett,/record/111042?highlight=*:*
Untitled (1966),Helen G. S Forde,/record/99817?highlight=*:*
Norwegian Ponies (1953),Mollie E N Langlands,/record/99218?highlight=*:*
Standing Female Nude (1959),C Byron,/record/20916?highlight=*:*
Abstract (1971),John F. Mooney,/record/22679?highlight=*:*
Smugglerius (1854),William Pink,/record/20600?highlight=*:*
St Pauls at Night (1950),Alexander Cree,/record/50546?highlight=*:*
